216,1,1
221,1,1
230,1,1
670,1,1
686,1,1
688,1,1
693,1,1
760,1,1
772,1,1
774,1,1
793,1,1
832,1,1
847,1,1
886,1,1
894,1,1
913,1,1
967,1,1
1011,1,1
1030,1,1
1031,1,1
1041,1,1
1108,1,1
1112,1,1
1116,0,1
1142,0,1
1186,0,1
1243,0,1
1255,0,1
1328,0,1
1373,0,1
1412,0,1
1441,0,1
1545,0,1
1655,0,1
1769,0,1
1841,0,1
1866,0,1
1934,0,1
2009,0,1
2087,0,1
2109,1,1
2151,1,1
2263,1,1
2271,1,1
2287,1,1
2305,1,1
2344,1,1
2358,1,1
2359,1,1
2374,1,1
2404,1,1
2459,1,1
2485,1,1
2542,1,1
2569,1,1
2627,1,1
2660,1,1
2672,1,1
2765,1,1
2843,1,1
2866,1,1
2976,1,1
3011,1,1
3057,1,1
3074,1,1
3089,1,1
3145,1,1
3184,1,1
3495,1,1
3562,1,1
3588,1,1
3672,1,1
3718,1,1
3764,1,1
3814,1,1
3830,1,1
3856,1,1
3860,1,1
3876,1,1
3922,1,1
3924,1,1
3926,1,1
3966,1,1
3985,1,1
4001,1,1
4018,1,1
4038,1,1
4042,1,1
4043,1,1
4048,1,1
4208,1,1
4270,1,1
4347,1,1
4376,1,1
4566,1,1
4595,1,1
4603,1,1
4611,1,1
4613,1,1
4866,1,1
4894,1,1
4920,1,1
4942,1,1
4962,1,1
4969,1,1
5006,0,1
5032,0,1
5076,0,1
5082,0,1
5111,0,1
5140,0,1
5144,0,1
5167,0,1
5237,0,1
5256,0,1
5260,0,1
5263,0,1
5355,0,1
5392,0,1
5485,0,1
